Timestamp,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Start Flag
0,0.403930664,0.852905273,-0.297119141,1.220703125,4.272460938,-0.671386659,0
1,0.435180664,0.838989258,-0.295043945,-0.549316406,-0.854492128,-0.061035153,0
2,0.429443359,0.842163086,-0.284545898,-0.24414061,-0.061035153,0.427246064,0
3,0.417602539,0.847290039,-0.298583984,-0.549316406,-1.403808475,0.305175781,0
4,0.411010742,0.845214844,-0.287353516,-0.732421815,0.24414061,-0.061035153,0
5,0.417114258,0.845214844,-0.295532227,-0.24414061,0.915527284,-0.061035153,0
6,0.410522461,0.848022461,-0.29296875,-0.854492128,-1.525878787,0,0
7,0.415649414,0.844970703,-0.292480469,-0.366210908,1.464843631,-0.122070305,0
8,0.416259766,0.845458984,-0.295532227,-0.305175781,-0.610351563,-0.061035153,0
9,0.408447266,0.851806641,-0.296386719,-0.793456972,-0.183105454,-0.305175781,0
10,0.421630859,0.841796875,-0.294067383,-0.854492128,0.366210908,-0.061035153,0
11,0.416625977,0.846923828,-0.297729492,-0.732421815,1.159667969,0.183105454,0
12,0.443237305,0.830078125,-0.32421875,-6.408690929,-2.44140625,-1.525878787,0
13,0.481079102,0.826293945,-0.501831055,-72.02148438,24.59716606,-26.916502,0
14,0.564697266,0.775024414,-0.685180664,-125.3051682,28.38134575,-32.10449219,0
15,0.448974609,0.569458008,-0.919555664,-142.8222656,34.42382813,-40.7104454,0
16,0.28515625,0.337036133,-0.903198242,-111.1450119,48.27880478,-45.47118759,0
17,0.439331055,-0.178710938,-1.123168945,-222.2289886,99.12108612,-38.45214844,0
18,0.587036133,-0.062866211,-0.556274414,-189.6362152,-8.30078125,-20.75195122,0
19,0.130981445,-0.372680664,-0.380859375,-15.56396389,-1.770019412,-9.826660156,0
20,0.173583984,-0.607543945,-0.511474609,53.46679306,9.948730469,8.117675781,0
21,0.467895508,-0.253051758,-0.524780273,127.1362228,22.09472466,3.60107398,0
22,0.403320313,-0.108276367,-0.779174805,158.0200195,39.67285156,25.39062309,0
