Timestamp,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Start Flag
0,-0.880126953,-0.330322266,0.0859375,-0.366210908,12.93945217,3.295898199,0
1,-0.926635742,-0.345581055,0.084106445,2.258300781,3.479003668,-1.770019412,0
2,-0.922607422,-0.351318359,0.092041016,-1.464843631,3.051757574,1.037597656,0
3,-0.961425781,-0.338012695,0.08984375,-1.6479491,3.479003668,1.708984256,0
4,-0.947509766,-0.349365234,0.102905273,-2.319335938,-2.929687262,0.48828122,0
5,-0.913330078,-0.347900391,0.116333008,-1.586913943,-0.48828122,0.793456972,0
6,-0.919799805,-0.34362793,0.12109375,-2.014160156,3.295898199,1.770019412,0
7,-0.9140625,-0.347045898,0.119873047,-1.098632813,-1.586913943,-0.305175781,0
8,-0.924926758,-0.357543945,0.114746094,-1.342773318,-0.48828122,-0.366210908,0
9,-0.90625,-0.351806641,0.110107422,-1.159667969,2.075195313,1.464843631,0
10,-0.932128906,-0.345581055,0.10925293,-1.037597656,1.586913943,1.892089725,0
11,-0.926757813,-0.350830078,0.112670898,-0.732421815,0.793456972,1.159667969,0
12,-0.892333984,-0.349853516,0.117675781,-0.854492128,-2.258300781,-1.403808475,0
13,-0.870483398,-0.312866211,0.104370117,0.97656244,-3.906249762,-10.00976563,0
14,-0.688720703,-0.262817383,0.07800293,-4.943847656,-6.896972179,-9.399414063,0
15,-0.65612793,-0.250244141,0.056030273,-8.728027344,-11.04736233,-12.69531155,0
16,-0.88659668,-0.212158203,-0.000732422,3.295898199,-2.014160156,-7.446288586,0
17,-1.015869141,-0.220825195,0.03527832,17.70019531,21.78954887,-7.507323742,0
18,-1.053222656,-0.336547852,0.081054688,6.225585461,41.50390244,6.103515148,0
19,-0.999023438,-0.318359375,0.18371582,2.258300781,15.56396389,-13.67187405,0
20,-1.356201172,-0.324829102,0.172607422,0.915527284,-14.40429592,-6.042479992,0
21,-1.53527832,-0.379760742,0.149291992,-9.033203125,1.403808475,7.263183117,0
22,-1.192504883,-0.294067383,0.154663086,-8.7890625,-3.417968512,-3.479003668,0
23,-0.955444336,-0.283813477,0.086181641,-7.446288586,-9.948730469,10.37597561,0
24,-0.892333984,-0.262817383,0.076293945,-7.812499523,-6.530761242,5.859374523,0
25,-0.704589844,-0.159790039,-0.040039063,-0.610351563,24.84130669,-4.028320313,0
26,-0.436401367,-0.138671875,0.064331055,-7.202147961,41.19872665,16.05224609,0
27,-1.011474609,-0.334228516,0.083007813,8.117675781,-40.77148056,-11.7797842,0
28,-0.853515625,-0.208374023,0.121337891,1.586913943,-6.347655773,3.662109137,0
29,-1.032836914,-0.307250977,0.063598633,-3.540038824,-1.6479491,6.408690929,0
30,-0.878295898,-0.299682617,0.113891602,-1.037597656,-4.943847656,1.098632813,1
31,-0.956176758,-0.282470703,0.06628418,-1.281738162,2.746581793,-1.159667969,1
32,-0.943969727,-0.32409668,0.080322266,-0.915527284,-3.295898199,-3.11279273,1
33,-0.961303711,-0.286499023,0.056030273,-2.929687262,-1.281738162,4.516601563,1
34,-0.932250977,-0.295166016,0.059448242,-1.708984256,2.990722418,0.854492128,1
35,-0.946166992,-0.294555664,0.072143555,-3.234863043,1.525878787,1.586913943,1
36,-0.937255859,-0.293823242,0.071411133,-0.48828122,1.953124881,0.48828122,1
37,-0.936401367,-0.298095703,0.073730469,1.953124881,1.831054568,0.610351563,1
38,-0.937133789,-0.30847168,0.072021484,1.953124881,1.220703125,-1.464843631,1
39,-0.972290039,-0.302246094,0.062988281,-1.403808475,2.197265625,0.305175781,1
40,-0.940429688,-0.323242188,0.094482422,-1.220703125,-3.479003668,-0.48828122,1
41,-0.843261719,-0.284179688,0.065795898,-2.014160156,-9.399414063,-9.033203125,1
42,-0.709716797,-0.188476563,0.041381836,-0.48828122,-17.63916016,-19.53125,1
43,-0.647094727,-0.182861328,-0.022949219,-3.845214605,-4.211425781,-18.85986328,1
44,-0.837768555,-0.133789063,-0.004150391,8.850097656,-14.52636623,-13.42773342,1
45,-0.974731445,-0.180541992,-0.045654297,1.464843631,-3.173827887,0.97656244,1
