Timestamp,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Start Flag
0,-0.111083984,0.957519531,-0.213500977,0.183105454,0.854492128,-2.380371094,0
1,-0.110351563,0.952880859,-0.197021484,0.366210908,-0.24414061,-0.549316406,0
2,-0.146606445,0.956054688,-0.19921875,-0.061035153,1.098632813,-2.136230469,0
3,-0.111083984,0.961791992,-0.209228516,-0.366210908,0.183105454,-2.563476324,0
4,-0.114135742,0.959350586,-0.190917969,-0.793456972,0.061035153,1.586913943,0
5,-0.14440918,0.955810547,-0.198242188,-0.793456972,-0.915527284,-1.708984256,0
6,-0.106079102,0.959472656,-0.19921875,-0.610351563,1.220703125,-1.6479491,0
7,-0.124755859,0.954223633,-0.196777344,-1.281738162,-0.48828122,1.403808475,0
8,-0.110839844,0.959106445,-0.20690918,-0.305175781,0.183105454,-0.671386659,0
9,-0.123535156,0.954345703,-0.196655273,-0.854492128,-1.586913943,3.417968512,0
10,-0.196411133,0.930053711,-0.185058594,-4.943847656,-14.1601553,-42.35839462,0
11,0.261108398,0.861083984,-0.166137695,-1.831054568,-9.582519531,-118.9575119,0
12,0.252075195,0.887817383,-0.287475586,22.46093559,-23.49853325,-85.7543869,0
13,0.669433594,0.875488281,-0.048095703,20.75195122,-22.21679497,-25.69579887,0
14,0.622192383,0.795166016,-0.069946289,7.507323742,8.239746094,-23.86474419,0
15,0.317626953,0.877929688,-0.149047852,-0.854492128,-7.751464367,-9.887695313,0
16,0.969360352,0.681640625,0.010253906,1.403808475,-8.666992188,-5.249022961,0
17,0.279296875,0.905395508,-0.119018555,-0.793456972,15.25878811,2.563476324,0
18,0.561279297,0.83984375,-0.09765625,0.427246064,-1.708984256,29.8461895,0
19,0.483276367,0.865234375,-0.05847168,-7.141112804,6.713866711,47.79052353,0
20,0.321289063,0.901123047,-0.142822266,-21.057127,-3.540038824,82.64159393,0
21,0.1015625,0.961669922,-0.146118164,-12.14599514,29.60204887,96.37450409,0
22,-0.108642578,0.970581055,-0.16784668,-6.164550304,29.11376762,73.91357422,0
23,-0.006958008,0.986694336,-0.242431641,8.056640625,9.460449219,-5.615233898,0
24,-0.234863281,0.952880859,-0.235961914,-2.44140625,3.11279273,4.760742188,0
25,-0.017089844,0.953369141,-0.242675781,-5.187987804,-4.150390625,-0.610351563,0
26,-0.151245117,0.952758789,-0.224731445,-3.479003668,1.098632813,1.586913943,0
27,-0.189575195,0.956665039,-0.225341797,-2.868652105,1.892089725,-0.061035153,0
28,-0.091796875,0.950439453,-0.244262695,-0.793456972,0.97656244,-1.037597656,0
29,-0.16003418,0.952514648,-0.23034668,1.098632813,1.098632813,-2.44140625,1
30,-0.1484375,0.948364258,-0.216918945,0.24414061,0.48828122,-0.427246064,1
31,-0.12097168,0.949951172,-0.214599609,-0.793456972,1.281738162,-2.075195313,1
32,-0.120239258,0.956542969,-0.236206055,0.305175781,-0.915527284,0,1
33,-0.151367188,0.954223633,-0.219482422,-0.061035153,-0.24414061,-1.159667969,1
34,-0.106079102,0.954223633,-0.230957031,-0.732421815,-0.671386659,0.24414061,1
35,-0.126464844,0.954345703,-0.21875,0.793456972,-1.159667969,-1.403808475,1
36,-0.104858398,0.951049805,-0.216918945,-0.549316406,-0.305175781,0.061035153,1
37,-0.138671875,0.95300293,-0.222290039,-0.122070305,0.48828122,-0.549316406,1
38,-0.096801758,0.955688477,-0.220092773,0.183105454,0.24414061,-2.258300781,1
39,-0.151367188,0.942993164,-0.247680664,2.929687262,-26.00097466,-44.067379,1
40,0.147216797,0.944213867,-0.169311523,15.01464748,-26.06200981,-132.4462891,1
41,0.451416016,0.884643555,-0.164672852,25.02441216,-28.56445122,-88.98925018,1
42,0.659423828,0.771972656,-0.027832031,-6.347655773,2.197265625,-63.47655869,1
43,0.458618164,0.802612305,-0.124511719,20.44677544,-1.098632813,-18.00537109,1
44,0.646728516,0.797729492,-0.05065918,13.30566311,-3.784179449,-4.821777344,1
45,0.592773438,0.775390625,-0.005126953,5.187987804,10.98632717,-4.455566406,1
46,0.58215332,0.824584961,-0.087280273,0.610351563,5.004882813,8.483886719,1
47,0.612182617,0.780883789,-0.029663086,-5.371093273,1.281738162,21.24023247,1
48,0.485961914,0.872436523,-0.145385742,6.530761242,23.07128716,49.4995079,1
49,0.453857422,0.86706543,-0.041015625,-20.99609184,17.51708984,82.03124237,1
50,0.318847656,0.91394043,-0.127197266,-33.99658203,-7.141112804,118.5302658,1
51,-0.087280273,0.941894531,-0.152832031,-4.211425781,12.7563467,56.7626915,1
52,0.276245117,0.972290039,-0.215332031,1.098632813,5.859374523,27.16064262,1
53,-0.244506836,0.943237305,-0.149047852,-3.356933355,5.493163586,-0.854492128,1
54,0.039306641,0.938964844,-0.151123047,-1.831054568,7.934569836,2.319335938,1
55,-0.169555664,0.96496582,-0.181640625,-0.061035153,-0.915527284,-6.225585461,1
56,-0.060546875,0.96862793,-0.170288086,0.671386659,1.342773318,-2.62451148,1
57,-0.120117188,0.970336914,-0.194580078,-3.845214605,-2.62451148,-1.708984256,1
58,-0.125976563,0.963378906,-0.206542969,-0.48828122,0.366210908,-4.272460938,2
59,-0.062988281,0.958374023,-0.185546875,-3.356933355,-1.098632813,4.760742188,2
60,-0.084594727,0.963745117,-0.186645508,0.427246064,0.793456972,-1.159667969,2
61,-0.060668945,0.957641602,-0.17578125,-1.770019412,-0.427246064,0.915527284,2
62,-0.104858398,0.963745117,-0.186279297,-0.610351563,0.183105454,-0.854492128,2
63,-0.096069336,0.966308594,-0.19140625,0.854492128,-0.305175781,-1.953124881,2
64,-0.073730469,0.960083008,-0.19140625,-0.97656244,0.427246064,-0.24414061,2
65,-0.126953125,0.965087891,-0.196166992,-1.220703125,1.037597656,1.525878787,2
66,-0.077026367,0.963989258,-0.189208984,0.366210908,1.342773318,-2.319335938,2
67,-0.094726563,0.959960938,-0.197509766,-1.892089725,-2.197265625,0.427246064,2
68,-0.085571289,0.9609375,-0.185668945,0.183105454,-8.666992188,-9.887695313,2
69,-0.128417969,1.014648438,-0.210449219,28.32031059,-43.15185165,-117.0043869,2
70,0.027709961,0.959350586,-0.091308594,37.109375,-10.37597561,-106.9946213,2
71,0.595703125,0.849487305,-0.031738281,17.63916016,-26.12304497,-70.00732422,2
72,0.70690918,0.7890625,0.113647461,23.80370903,10.07079983,-38.02490234,2
73,0.52734375,0.805175781,0.231323242,11.7797842,10.68115139,-10.07079983,2
74,0.622070313,0.777954102,-0.028076172,0.366210908,14.40429592,-2.136230469,2
75,0.551879883,0.79675293,0.096801758,-8.361816406,10.07079983,11.2304678,2
76,0.581420898,0.798095703,0.05847168,-28.62548637,1.037597656,26.61132622,2
77,0.413452148,0.873535156,-0.010253906,-21.30126762,7.568358898,65.36865234,2
78,0.362548828,0.915283203,-0.163574219,-39.24560547,-1.6479491,84.16747284,2
79,0.219116211,0.967285156,-0.161621094,-14.22119045,16.90673828,94.48241425,2
80,0.054199219,0.958618164,-0.173461914,13.85497952,1.403808475,28.80859184,2
81,-0.254638672,1.009643555,-0.192016602,-2.319335938,17.33398438,19.10400391,2
82,0.018188477,0.963623047,-0.190307617,-0.122070305,11.84081936,-3.234863043,2
83,-0.166503906,0.961181641,-0.163696289,-1.159667969,10.55908108,-5.981444836,2
84,-0.067016602,0.973876953,-0.184814453,-3.723144293,-2.807616949,1.037597656,2
85,-0.118896484,0.967163086,-0.175537109,-3.417968512,1.770019412,-1.953124881,2
86,-0.067871094,0.960693359,-0.181274414,-3.417968512,-0.97656244,0.24414061,2
87,-0.104003906,0.96862793,-0.192016602,-1.281738162,6.286620617,1.281738162,3
88,-0.089111328,0.963623047,-0.17565918,-0.732421815,-0.610351563,-2.44140625,3
89,-0.09362793,0.959716797,-0.186889648,-2.136230469,-2.136230469,-0.061035153,3
90,-0.12512207,0.965209961,-0.191772461,-1.220703125,1.6479491,-0.48828122,3
91,-0.056518555,0.958984375,-0.177978516,0.122070305,-0.854492128,-1.281738162,3
92,-0.099975586,0.963378906,-0.190307617,-1.159667969,-1.037597656,-0.24414061,3
93,-0.065917969,0.961547852,-0.186523438,0,2.62451148,-2.929687262,3
94,-0.088500977,0.965454102,-0.188598633,-0.610351563,-0.854492128,0.305175781,3
95,-0.082763672,0.96484375,-0.190551758,-0.549316406,2.197265625,-0.549316406,3
96,-0.048950195,0.961425781,-0.189331055,-0.671386659,-0.24414061,0.610351563,3
97,-0.103271484,0.962280273,-0.18371582,-0.793456972,-0.122070305,-1.953124881,3
98,-0.101928711,0.961425781,-0.185302734,0.915527284,-10.98632717,-29.78515434,3
99,-0.227294922,0.944580078,-0.174438477,20.50781059,-56.45751572,-120.544426,3
100,0.396728516,0.909423828,-0.135742188,24.04784966,-14.03808498,-90.6371994,3
101,0.703491211,0.776977539,0.040283203,20.32470512,12.57324123,-54.8095665,3
102,0.412719727,0.863647461,-0.080078125,28.50341606,-11.59667873,-17.39501953,3
103,0.666748047,0.754516602,0.211181641,12.93945217,17.27294922,-17.70019531,3
104,0.450927734,0.826538086,0.002563477,-7.263183117,-1.281738162,7.263183117,3
105,0.643920898,0.774047852,-0.044433594,-18.92089844,7.141112804,9.765625,3
106,0.547729492,0.803100586,-0.00012207,-13.42773342,6.530761242,40.52733994,3
107,0.410400391,0.870727539,-0.08996582,-42.78564072,-5.126952648,62.86620712,3
108,0.168212891,0.92956543,-0.217773438,-35.40039063,-11.2304678,98.8769455,3
109,0.005493164,0.973388672,-0.261962891,1.831054568,47.30224228,102.4780197,3
110,-0.211425781,0.946166992,-0.247924805,1.464843631,24.47509575,8.728027344,3
111,-0.04699707,0.923461914,-0.216796875,-1.037597656,5.981444836,3.356933355,3
112,-0.119873047,0.962768555,-0.17199707,1.831054568,10.2539053,0.549316406,3
113,-0.125244141,0.958496094,-0.221069336,0.97656244,-1.342773318,-0.24414061,3
114,-0.153320313,0.951049805,-0.184326172,-0.671386659,4.638671875,-1.6479491,3
115,-0.0546875,0.95715332,-0.199829102,0.061035153,6.774901867,-5.615233898,3
116,-0.147094727,0.96472168,-0.19909668,0.48828122,0.48828122,0.610351563,3
117,-0.104370117,0.959594727,-0.192993164,0,2.563476324,-1.342773318,4
118,-0.128540039,0.961425781,-0.198242188,-1.098632813,-0.366210908,0.427246064,4
119,-0.099365234,0.966064453,-0.209960938,0.97656244,-1.831054568,-2.502441406,4
120,-0.081665039,0.959838867,-0.182861328,-0.061035153,-0.183105454,-0.366210908,4
121,-0.127197266,0.961547852,-0.185424805,-0.793456972,-0.97656244,-1.342773318,4
122,-0.089477539,0.963134766,-0.185302734,-0.061035153,0.427246064,-2.44140625,4
123,-0.087768555,0.961914063,-0.184326172,-0.671386659,-0.854492128,-2.502441406,4
124,-0.100830078,0.962646484,-0.186401367,-2.44140625,0.854492128,-0.549316406,4
125,-0.065063477,0.962036133,-0.187011719,-0.48828122,1.403808475,-1.892089725,4
126,-0.07824707,0.961425781,-0.193481445,-1.892089725,-1.892089725,-0.549316406,4
127,-0.095947266,0.961547852,-0.200805664,-0.549316406,-4.272460938,-6.958007336,4
128,0.017700195,0.983520508,-0.203369141,19.59228516,-54.13817978,-99.18212128,4
129,0.129150391,0.9765625,-0.196655273,17.51708984,-32.40966797,-102.2949142,4
